CANDLE 160.0 304.0 LARGE_CANDLE 1 DAGGER
CANDLE 448.0 304.0 LARGE_CANDLE 1 CHAIN
CANDLE 672.0 304.0 LARGE_CANDLE 1 CROSS
CANDLE 960.0 304.0 LARGE_CANDLE 1 CHAIN
CANDLE 1216.0 304.0 LARGE_CANDLE 1 DAGGER
BRICK 0.0 368.0 0 1 -1
BRICK 32.0 368.0 0 1 -1 
BRICK 64.0 368.0 0 1 -1
BRICK 96.0 368.0 0 1 -1
BRICK 128.0 368.0 0 1 -1
BRICK 160.0 368.0 0 1 -1
BRICK 192.0 368.0 0 1 -1
BRICK 224.0 368.0 0 1 -1
BRICK 256.0 368.0 0 1 -1
BRICK 288.0 368.0 0 1 -1
BRICK 320.0 368.0 0 1 -1
BRICK 352.0 368.0 0 1 -1
BRICK 384.0 368.0 0 1 -1
BRICK 416.0 368.0 0 1 -1
BRICK 448.0 368.0 0 1 -1
BRICK 480.0 368.0 0 1 -1
BRICK 512.0 368.0 0 1 -1
BRICK 544.0 368.0 0 1 -1
BRICK 576.0 368.0 0 1 -1
BRICK 608.0 368.0 0 1 -1
BRICK 640.0 368.0 0 1 -1
BRICK 672.0 368.0 0 1 -1
BRICK 704.0 368.0 0 1 -1
BRICK 736.0 368.0 0 1 -1
BRICK 768.0 368.0 0 1 -1
BRICK 800.0 368.0 0 1 -1
BRICK 832.0 368.0 0 1 -1
BRICK 864.0 368.0 0 1 -1
BRICK 896.0 368.0 0 1 -1
BRICK 928.0 368.0 0 1 -1
BRICK 960.0 368.0 0 1 -1
BRICK 992.0 368.0 0 1 -1
BRICK 1024.0 368.0 0 1 -1
BRICK 1056.0 368.0 0 1 -1
BRICK 1088.0 368.0 0 1 -1
BRICK 1120.0 368.0 0 1 -1
BRICK 1152.0 368.0 0 1 -1
BRICK 1184.0 368.0 0 1 -1
BRICK 1216.0 368.0 0 1 -1
BRICK 1248.0 368.0 0 1 -1
BRICK 1280.0 368.0 0 1 -1
BRICK 1312.0 368.0 0 1 -1
BRICK 1344.0 368.0 0 1 -1
BRICK 1376.0 368.0 0 1 -1
BRICK 1408.0 368.0 0 1 -1
BRICK 1440.0 368.0 0 1 -1
BRICK 1472.0 368.0 0 1 -1
BRICK 1504.0 368.0 0 1 -1
